[STAR]
cpr6dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.25.57.551 W106.36.01.606 N042.25.50.952 W106.35.19.339 RVM
                          N042.25.50.952 W106.35.19.339 N042.25.50.952 W106.35.19.339 RVM
                          N042.26.00.961 W106.36.22.559 N042.24.59.013 W106.36.41.966 RVM
                          N042.54.44.713 W105.02.53.502 N042.54.46.677 W105.05.35.685 RVM
                          N042.49.56.822 W106.34.10.498 N042.49.14.388 W106.33.13.150 RVM
                          N042.55.22.575 W105.50.52.244 N042.54.33.489 W105.48.49.508 RVM
                          N042.54.57.493 W105.48.42.537 N042.54.55.929 W105.50.58.331 RVM
                          N042.53.56.117 W106.42.29.995 N042.54.39.798 W106.40.52.047 RVM
                          N042.54.18.818 W106.42.40.841 N042.54.20.720 W106.40.39.432 RVM
                          N042.45.51.940 W106.39.56.024 N042.44.51.158 W106.38.30.462 RVM
                          N042.45.50.439 W106.38.32.876 N042.44.49.367 W106.39.53.130 RVM
                          N042.42.37.933 W106.42.41.951 N042.43.50.593 W106.41.08.880 RVM
                          N042.43.51.365 W106.42.48.958 N042.42.39.778 W106.41.09.508 RVM
                          N042.48.04.849 W106.49.32.122 N042.49.48.199 W106.46.17.192 RVM
                          N043.05.19.581 W106.46.30.079 N043.05.20.857 W106.42.23.384 RVM
                          N043.09.47.013 W106.39.12.816 N043.09.03.220 W106.35.20.120 RVM
                          N042.40.25.877 W106.30.15.100 N042.37.43.861 W106.28.36.843 RVM
                          N042.45.15.079 W106.12.06.159 N042.42.17.795 W106.11.28.029 RVM
                          N042.53.42.492 W106.06.59.475 N042.51.12.577 W106.04.55.398 RVM
                          N043.02.44.371 W106.09.30.529 N043.01.20.772 W106.05.58.609 RVM
                          N043.06.22.292 W106.13.31.307 N043.07.26.983 W106.09.42.659 RVM
                          N043.06.51.242 W106.13.15.016 N043.08.18.689 W106.09.41.963 RVM
                          N043.08.17.609 W106.17.07.645 N043.11.14.508 W106.17.37.315 RVM
                          N043.07.54.016 W106.18.35.846 N043.10.27.960 W106.20.43.731 RVM
                          N043.07.08.322 W106.19.48.336 N043.08.53.877 W106.23.03.334 RVM
                          N042.40.54.622 W106.58.17.655 N042.37.55.224 W106.57.53.409 RVM
                          N042.37.55.224 W106.57.53.409 N042.36.11.340 W106.54.31.476 RVM
                          N042.22.36.785 W106.28.20.521 N042.20.53.676 W106.25.01.569 RVM
                          N042.20.53.676 W106.25.01.569 N042.22.27.428 W106.21.36.735 RVM
                          N042.36.16.380 W105.50.54.973 N042.37.50.078 W105.47.26.643 RVM
                          N042.37.50.078 W105.47.26.643 N042.40.47.063 W105.47.45.730 RVM
                          N043.09.54.410 W105.50.57.145 N043.12.56.316 W105.51.17.418 RVM
                          N043.30.27.219 W106.26.30.428 N043.28.55.311 W106.30.00.743 RVM
                          N043.15.56.618 W106.59.22.238 N043.14.23.044 W107.02.51.794 RVM
                          N043.14.23.044 W107.02.51.794 N043.11.23.351 W107.02.26.653 RVM
                          N042.42.59.781 W106.39.00.944 N042.40.35.254 W106.41.21.095 RVM
                          N042.54.57.194 W106.34.12.851 N042.53.57.253 W106.34.10.947 RVM
                          N043.08.03.251 W106.15.06.716 N043.10.49.388 W106.13.30.313 RVM
                          N043.30.27.219 W106.26.30.428 N043.28.55.263 W106.22.56.985 RVM
                          N043.23.33.043 W106.10.30.884 N043.22.00.922 W106.06.58.693 RVM
                          N043.14.46.939 W105.54.28.262 N043.12.56.316 W105.51.17.418 RVM
                          N043.22.00.922 W106.06.58.693 N043.20.13.301 W106.03.52.044 RVM
                          N043.30.29.212 W106.24.53.232 N043.55.43.949 W106.23.02.097 RVM
                          N042.37.17.849 W107.23.28.889 N042.31.20.160 W107.42.22.394 RVM
                          N042.24.09.057 W106.47.46.650 N042.01.04.721 W107.02.24.719 RVM
                          N042.01.57.768 W105.50.09.235 N042.27.56.872 W106.07.55.595 RVM
                          N042.11.01.799 W105.56.19.437 N042.11.34.826 W105.54.53.940 RVM
                          N042.11.34.826 W105.54.53.940 N042.12.09.384 W105.53.29.532 RVM
                          N042.12.09.384 W105.53.29.532 N042.12.45.453 W105.52.06.262 RVM
                          N042.12.45.453 W105.52.06.262 N042.13.23.012 W105.50.44.180 RVM
                          N042.13.23.012 W105.50.44.180 N042.14.02.040 W105.49.23.333 RVM
                          N042.14.02.040 W105.49.23.333 N042.14.42.513 W105.48.03.769 RVM
                          N042.14.42.513 W105.48.03.769 N042.15.24.409 W105.46.45.536 RVM
                          N042.15.24.409 W105.46.45.536 N042.16.07.703 W105.45.28.679 RVM
                          N042.16.07.703 W105.45.28.679 N042.16.52.369 W105.44.13.244 RVM
                          N042.16.52.369 W105.44.13.244 N042.17.38.381 W105.42.59.276 RVM
                          N042.17.38.381 W105.42.59.276 N042.18.25.713 W105.41.46.819 RVM
                          N042.18.25.713 W105.41.46.819 N042.19.14.338 W105.40.35.917 RVM
                          N042.19.14.338 W105.40.35.917 N042.20.04.226 W105.39.26.611 RVM
                          N042.20.04.226 W105.39.26.611 N042.20.55.348 W105.38.18.944 RVM
                          N042.20.55.348 W105.38.18.944 N042.21.47.675 W105.37.12.955 RVM
                          N042.21.47.675 W105.37.12.955 N042.22.41.176 W105.36.08.686 RVM
                          N042.22.41.176 W105.36.08.686 N042.23.35.820 W105.35.06.174 RVM
                          N042.23.35.820 W105.35.06.174 N042.24.31.574 W105.34.05.458 RVM
                          N042.24.31.574 W105.34.05.458 N042.25.28.406 W105.33.06.574 RVM
                          N042.25.28.406 W105.33.06.574 N042.26.26.283 W105.32.09.559 RVM
                          N042.26.26.283 W105.32.09.559 N042.27.25.170 W105.31.14.447 RVM
                          N042.27.25.170 W105.31.14.447 N042.28.25.033 W105.30.21.273 RVM
                          N042.28.25.033 W105.30.21.273 N042.28.25.033 W105.30.21.273 RVM
                          N042.44.40.964 W106.04.17.532 N042.22.53.503 W105.18.49.398 RVM
                          N042.52.57.462 W106.03.04.867 N042.47.00.100 W105.06.21.667 RVM
                          N042.50.34.708 W105.40.16.083 N042.51.35.090 W105.40.04.986 RVM
                          N042.51.35.090 W105.40.04.986 N042.52.35.683 W105.39.56.276 RVM
                          N042.52.35.683 W105.39.56.276 N042.53.36.437 W105.39.49.964 RVM
                          N042.53.36.437 W105.39.49.964 N042.54.37.300 W105.39.46.055 RVM
                          N042.54.37.300 W105.39.46.055 N042.55.38.221 W105.39.44.557 RVM
                          N042.55.38.221 W105.39.44.557 N042.56.39.148 W105.39.45.471 RVM
                          N042.56.39.148 W105.39.45.471 N042.57.40.029 W105.39.48.800 RVM
                          N042.57.40.029 W105.39.48.800 N042.58.40.813 W105.39.54.542 RVM
                          N042.58.40.813 W105.39.54.542 N042.59.41.449 W105.40.02.694 RVM
                          N042.59.41.449 W105.40.02.694 N043.00.41.884 W105.40.13.251 RVM
                          N043.00.41.884 W105.40.13.251 N043.01.42.067 W105.40.26.207 RVM
                          N043.01.42.067 W105.40.26.207 N043.02.41.948 W105.40.41.553 RVM
                          N043.02.41.948 W105.40.41.553 N043.03.41.475 W105.40.59.276 RVM
                          N043.03.41.475 W105.40.59.276 N043.04.40.597 W105.41.19.365 RVM
                          N043.04.40.597 W105.41.19.365 N043.05.39.264 W105.41.41.803 RVM
                          N043.05.39.264 W105.41.41.803 N043.06.37.427 W105.42.06.574 RVM
                          N043.06.37.427 W105.42.06.574 N043.07.35.034 W105.42.33.658 RVM
                          N043.07.35.034 W105.42.33.658 N043.08.32.038 W105.43.03.034 RVM
                          N043.08.32.038 W105.43.03.034 N043.09.28.389 W105.43.34.678 RVM
                          N043.09.28.389 W105.43.34.678 N043.10.24.039 W105.44.08.566 RVM
                          N043.10.24.039 W105.44.08.566 N043.11.18.940 W105.44.44.669 RVM
