[STAR]
cpr9dgp.dat               N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.54.27.141 W106.19.58.815 N042.54.26.367 W106.20.03.459 RVM
                          N042.54.26.367 W106.20.03.459 N042.54.26.634 W106.20.08.207 RVM
                          N042.54.26.634 W106.20.08.207 N042.54.27.917 W106.20.12.636 RVM
                          N042.54.27.917 W106.20.12.636 N042.54.30.103 W106.20.16.355 RVM
                          N042.54.30.103 W106.20.16.355 N042.54.32.998 W106.20.19.032 RVM
                          N042.54.32.998 W106.20.19.032 N042.54.36.344 W106.20.20.429 RVM
                          N042.54.36.344 W106.20.20.429 N042.54.39.844 W106.20.20.423 RVM
                          N042.54.39.844 W106.20.20.423 N042.54.43.188 W106.20.19.013 RVM
                          N042.54.43.188 W106.20.19.013 N042.54.46.077 W106.20.16.325 RVM
                          N042.54.46.077 W106.20.16.325 N042.54.48.255 W106.20.12.598 RVM
                          N042.54.48.255 W106.20.12.598 N042.54.49.530 W106.20.08.163 RVM
                          N042.54.49.530 W106.20.08.163 N042.54.49.786 W106.20.03.413 RVM
                          N042.54.49.786 W106.20.03.413 N042.54.49.002 W106.19.58.772 RVM
                          N042.54.49.002 W106.19.58.772 N042.54.47.248 W106.19.54.652 RVM
                          N042.54.47.248 W106.19.54.652 N042.54.44.679 W106.19.51.418 RVM
                          N042.54.44.679 W106.19.51.418 N042.54.41.523 W106.19.49.358 RVM
                          N042.54.41.523 W106.19.49.358 N042.54.38.061 W106.19.48.656 RVM
                          N042.54.38.061 W106.19.48.656 N042.54.38.061 W106.19.48.656 RVM
                          N042.54.31.919 W106.19.28.581 N042.54.32.358 W106.19.38.120 RVM
                          N042.54.32.358 W106.19.38.120 N042.54.31.064 W106.19.47.513 RVM
                          N042.54.31.064 W106.19.47.513 N042.54.28.115 W106.19.56.188 RVM
                          N042.54.28.115 W106.19.56.188 N042.54.23.692 W106.20.03.613 RVM
                          N042.54.23.692 W106.20.03.613 N042.54.18.066 W106.20.09.336 RVM
                          N042.54.18.066 W106.20.09.336 N042.54.11.579 W106.20.13.006 RVM
                          N042.54.11.579 W106.20.13.006 N042.54.11.579 W106.20.13.006 RVM
                          N042.54.11.579 W106.20.13.006 N042.54.18.591 W106.20.12.410 RVM
                          N042.54.18.591 W106.20.12.410 N042.54.25.496 W106.20.14.171 RVM
                          N042.54.25.496 W106.20.14.171 N042.54.31.872 W106.20.18.183 RVM
                          N042.54.31.872 W106.20.18.183 N042.54.37.330 W106.20.24.201 RVM
                          N042.54.37.330 W106.20.24.201 N042.54.41.536 W106.20.31.856 RVM
                          N042.54.41.536 W106.20.31.856 N042.54.44.234 W106.20.40.681 RVM
                          N042.55.04.577 W106.19.56.252 N042.54.58.090 W106.19.59.923 RVM
                          N042.54.58.090 W106.19.59.923 N042.54.52.464 W106.20.05.647 RVM
                          N042.54.52.464 W106.20.05.647 N042.54.48.041 W106.20.13.073 RVM
                          N042.54.48.041 W106.20.13.073 N042.54.45.092 W106.20.21.748 RVM
                          N042.54.45.092 W106.20.21.748 N042.54.43.796 W106.20.31.141 RVM
                          N042.54.43.796 W106.20.31.141 N042.54.44.234 W106.20.40.681 RVM
                          N042.55.04.577 W106.19.56.252 N042.54.57.565 W106.19.56.849 RVM
                          N042.54.57.565 W106.19.56.849 N042.54.50.660 W106.19.55.087 RVM
                          N042.54.50.660 W106.19.55.087 N042.54.44.284 W106.19.51.076 RVM
                          N042.54.44.284 W106.19.51.076 N042.54.38.825 W106.19.45.059 RVM
                          N042.54.38.825 W106.19.45.059 N042.54.34.618 W106.19.37.405 RVM
                          N042.54.34.618 W106.19.37.405 N042.54.31.919 W106.19.28.581 RVM
                          N042.58.29.053 W106.21.50.640 N042.58.25.593 W106.21.51.355 RVM
                          N042.58.25.593 W106.21.51.355 N042.58.22.441 W106.21.53.428 RVM
